"lang","name","url","title"
"en","the-data","/en/the-data","The Data"
"fr","the-data","/fr/the-data","The Data"
"en","project-background","/en/project-background","Project Background"
"fr","project-background","/fr/project-background","Project Background"
"en","case-studies","/en/case-studies","Case Studies"
"fr","case-studies","/fr/case-studies","Case Studies"
"en","scholarship","/en/scholarship","Scholarship"
"fr","scholarship","/fr/scholarship","Scholarship"
"en","news-updates","/en/news-updates","News and Updates"
"fr","news-updates","/fr/news-updates","News and Updates"
