"lang","name","url","title"
"en","project-history","/en/project-background","Project History"
"fr","project-history","/fr/contexte-du-projet","Historique du Projet"
"en","about-the-comedie-francaise","/en/project-background/about-the-comedie-francaise","About the Comédie-Française"
"fr","about-the-comedie-francaise","/fr/contexte-du-projet/sur-la-comedie-francaise","Sur la Comédie-Française"
"en","about-the-participants","/en/project-background/about-the-participants","About the Project Participants"
"fr","about-the-participants","/fr/contexte-du-projet/sur-les-participants","Sur les Participants au Projet"
"en","the-team","/en/project-background/the-team","The Team"
"fr","the-team","/fr/contexte-du-projet/notre-equipe","Notre Équipe"
"en","funding","/en/project-background/funding","Funding"
"fr","funding","/fr/contexte-du-projet/financements-du-projet","Financements du Projet"
