"lang","name","url","title"
"en","resources","/en/resources","Resources"
"fr","resources","/fr/ressources","Ressources"
"en","scholarship","/en/resources/scholarship","Scholarship"
"fr","scholarship","/fr/ressources/ouvrages","Ouvrages"
"en","bibliography","/en/resources/bibliography","Bibliography"
"fr","bibliography","/fr/ressources/bibliographie","Bibliographie"
"en","educational-materials","/en/resources/educational-materials","Educational Materials"
"fr","educational-materials","/fr/ressources/educational-materials","Educational Materials"
"en","teaching-resources","/en/resources/teaching-resources","Teaching Resources"
"fr","teaching-resources","/fr/ressources/espace-pedagogique","Espace Pedagogique"
