"lang","name","url","title"
"en","go-to-app","http://hyperstudio.mit.edu","Go to the App"
"fr","go-to-app","http://hyperstudio.mit.edu","Accédez à la base"
"en","contact","","contact"
"fr","contact","","contacts"
"en","join-email-list","","Join the Email List"
"fr","join-email-list","","S'abonner à la liste des renseignements pour nos utilisateurs"
"en","read-more","","read more"
"fr","read-more","","en savoir plus"
"en","case-study","","case study"
"fr","case-study","","étude de cas"
"en","about-comedie-francais","http://www.comedie-francaise.fr/","About Comedie Français"
"fr","about-comedie-francais","http://www.comedie-francaise.fr/","Sur la Comédie-Française"
"en","about-hyperstudio","","About MIT Hyperstudio"
"fr","about-hyperstudio","","Sur l'HyperStudio de MIT"
"en","funding","","Funding"
"fr","funding","","Financements du projet"
