"lang","name","url","title"
"en","the-data","/en/the-data","Introduction to the Database"
"fr","the-data","/fr/nos-donnees","Introduction aux Donnees"
"en","app","/app","Pivot Browser"
"fr","app","/app","Pivot Browser"
"en","facets","/en/the-data/faceted-browser","Faceted Browser"
"fr","facets","/fr/nos-donnees/faceted-browser","Faceted Browser"
"en","api","http://api.cfregisters.org/","HTTP API"
"fr","api","http://api.cfregisters.org/","HTTP API"
"en","theater-venues","/en/the-data/theater-venues","Theater Venues"
"fr","theater-venues","/fr/nos-donnees/salles-de-la-comedie-francaise","Salles de la Com&eacute;die Fran&ccedil;aise"
